PhoneID(int),DestPhoneID(int),Date(date),OpType(string),Duration(int)
0,1,2019-07-04 08:51,CALL,10
0,1,2019-07-23 08:41,SMS,1
0,1,2019-03-04 23:56,CALL,30
0,2,2019-01-02 10:12,SMS,1
1,2,2019-08-04 07:53,SMS,1
1,0,2019-09-13 02:16,CALL,234
2,6,2019-06-13 18:42,CALL,23
2,3,2019-16-14 08:59,CALL,213
3,8,2019-05-04 08:56,SMS,1
3,6,2020-02-01 08:56,SMS,1
3,6,2020-02-01 08:57,SMS,1
4,7,2019-07-30 01:00,CALL,123
5,3,2019-01-04 12:38,SMS,1
7,1,2019-12-12 08:12,SMS,1
8,0,2019-11-21 12:03,CALL,23
11,9,2019-04-30 02:27,CALL,7
6,0,2019-02-04 11:59,CALL,9
2,11,2019-10-05 19:16,CALL,11
9,1,2019-09-17 12:32,CALL,210
8,0,2019-11-24 09:13,SMS,1
6,11,2019-12-06 12:00,SMS,1
